Number of Digits, Sample Size, Time
2, 10, 5.125e-06
2, 100, 2.1709e-05
2, 1000, 9.625e-05
2, 10000, 0.00112937
2, 100000, 0.0181308
3, 10, 5.875e-06
3, 100, 1.5958e-05
3, 1000, 0.000109791
3, 10000, 0.00162004
3, 10000, 0.00106792
3, 100000, 0.0105336
5, 10, 9.5e-06
5, 100, 4.8458e-05
5, 1000, 0.00023375
5, 10000, 0.00229225
5, 100000, 0.0434355
8, 10, 1.1666e-05
8, 100, 4.175e-05
8, 1000, 0.000316125
8, 10000, 0.00394175
8, 100000, 0.0503374
10, 10, 2.2125e-05
10, 100, 9.7916e-05
10, 1000, 0.0004225
10, 10000, 0.00639071
10, 100000, 0.098516
12, 10, 1.9125e-05
12, 100, 0.000109709
12, 1000, 0.000468875
12, 10000, 0.00570933
12, 100000, 0.0412079
15, 10, 1.9583e-05
15, 100, 0.000139833
15, 1000, 0.000484791
15, 10000, 0.00466533
15, 100000, 0.0945257
16, 10, 2.2208e-05
16, 100, 7.0583e-05
16, 1000, 0.00042775
16, 10000, 0.00682279
16, 100000, 0.0927343
18, 10, 1.6334e-05
18, 100, 9.7459e-05
18, 1000, 0.00064225
18, 10000, 0.0088395
18, 100000, 0.0991216
20, 10, 1.8958e-05
20, 100, 7.0458e-05
20, 1000, 0.000478208
20, 10000, 0.00597958
20, 100000, 0.0973596
