Number of Digits, Sample Size, Time
2, 10, 8.33e-07
2, 100, 3.833e-06
2, 1000, 5.6208e-05
2, 10000, 0.000349
2, 100000, 0.00362992
3, 10, 1.083e-06
3, 100, 4.084e-06
3, 1000, 4.325e-05
3, 10000, 0.000532
3, 100000, 0.005732925
5, 10, 1.291e-06
5, 100, 3.5e-06
5, 1000, 4.3416e-05
5, 10000, 0.000574959
5, 100000, 0.00709583
8, 10, 6.67e-07
8, 100, 3.584e-06
8, 1000, 4.4167e-05
8, 10000, 0.000568708
8, 100000, 0.00728113
10, 10, 1.083e-06
10, 100, 3.833e-06
10, 1000, 4.4375e-05
10, 10000, 0.000570792
10, 100000, 0.008051
15, 10, 7.5e-07
15, 100, 4.333e-06
15, 1000, 4.5625e-05
15, 10000, 0.000604958
15, 100000, 0.00725329
16, 10, 9.59e-07
16, 100, 4.375e-06
16, 1000, 5.2e-05
16, 10000, 0.000649833
16, 100000, 0.0162657
20, 10, 7.92e-07
20, 100, 4.208e-06
20, 1000, 4.9583e-05
20, 10000, 0.00057625
20, 100000, 0.00709033
