Number of Characters, Sample Size, Time
2, 10, 6.833e-06
2, 100, 0.000118167
2, 1000, 0.000482291
2, 10000, 0.00233604
2, 100000, 0.0242871
3, 10, 1.2667e-05
3, 100, 0.000108459
3, 1000, 0.000561875
3, 10000, 0.00348379
3, 100000, 0.0354628
4, 10, 1.2542e-05
4, 100, 5.375e-05
4, 1000, 0.000478458
4, 10000, 0.00548104
4, 100000, 0.0482073
8, 10, 2.2209e-05
8, 100, 0.000104458
8, 1000, 0.000942
8, 10000, 0.0112919
8, 100000, 0.175561
10, 10, 2.7e-05
10, 100, 0.000306458
10, 1000, 0.00117604
10, 10000, 0.0167296
10, 100000, 0.118041
16, 10, 4.2417e-05
16, 100, 0.000220042
16, 1000, 0.00187121
16, 10000, 0.0189725
16, 100000, 0.188308
20, 10, 5.2208e-05
20, 100, 0.000273167
20, 1000, 0.002322
20, 10000, 0.02439
20, 100000, 0.281696
